CSE3063_20201116_Mon_zoom_PollReport_1,
"How do you model the following situation with a UML class diagram: A season worker may be employed in one or several 
 seasons the beginning and the end of each employment period is saved",association class
What is a synonym for strong aggregation?,composition
In Java primitive data types ...,are synonyms for classes
Association classes are used to ...,Encapsulate association specific attributes and operations
An aggregation is a special ...,association
Which of the following statements about compositions (composite aggregations) are true?,"When the composite element is deleted, the parts also die"
Which of the following differences between class diagrams and object diagrams are true?,"Class diagrams describe a system on type level, object diagrams on instance level.;Class diagrams describe the structure of a system. object diagrams describe the shape of a system at a certain point in time."
Which of the following is a technique for hiding the internal implementation details of an object?,Encapsulation
How do you model the following situation: A doctor treats multiple patients a patient can be treated by  multiple doctors. Info of which doctor has treated which patient (can be multiple times) the date and diagnosis are stored.,Doctor---Treatment---Patient (treatment info stored in Treatment)
A class diagram shows ... view of a system.,static
CSE3063_20201116_Mon_zoom_PollReport_2,
Which description is a best fit for Scrum?,Analysis design coding test steps in the given order and using multiple iterations
An abstract class is which of the following?,A class that has no direct instances but whose descendants may have direct instances
Which one of the following explains the following statement? Same operation may apply to two or more classes.,Polymorphism
Which of the following statement is true concerning objects and/or classes?,An object is an instance of a class.
Composition is a stronger form of which of the following?,Aggregation
A UML diagram includes which of the following?,All of the above
Which one describes Waterfall?,Analysis design coding test steps in the given order and going through the steps no more than one time
Aggregation is which of the following?,Expresses a part-of relationship and is a stronger form of an association relationship.
The benefits of object-oriented modeling are which of the following?,All of the above
Which one is a best fit for iterative and evolutionary development life cycle like Unified Process (UP) ?,Analysis design coding test steps in any order and using multiple iterations
